Rank,Domain,Category,# of times Cited,# of URLs,# of Queries,Share of Citations,Audience Cluster,Audience Description
1,youtube.com,Social,279,42,38,13.0%,general,"Broad consumer audience discovering reviews, demos, and how-tos via video search."
2,ray-ban.com,Earned,178,10,40,8.3%,general,Brand-conscious shoppers researching Ray-Ban products and official information.
3,meta.com,Earned,165,10,42,7.7%,techie,"Meta- and tech-savvy users exploring product details, ecosystem, and platform info."
4,bestbuy.com,Earned,146,5,39,6.8%,general,Retail-oriented shoppers comparing prices and availability across consumer electronics.
5,solosglasses.com,Earned,101,3,32,4.7%,techie,Early adopters and smart eyewear enthusiasts seeking a competing product line.
6,digitalcameraworld.com,Earned,100,1,26,4.7%,techie,"Photography and imaging enthusiasts who care about cameras, optics, and image quality."
7,lucyd.co,Earned,47,5,21,2.2%,techie,Tech-forward eyewear shoppers interested in AR/smart features and innovation brands.
8,tomsguide.com,Earned,47,2,18,2.2%,techie,Tech reviewers and comparison shoppers reading in-depth guides and product rankings.
9,vuzix.com,Social,43,5,18,2.0%,techie,AR/VR and enterprise tech users evaluating smart glasses and industrial use cases.
10,sunglasshut.com,Earned,43,6,12,2.0%,general,Fashion and lifestyle shoppers browsing and purchasing sunglasses online or in-store.
